target,feature_alt_pos,weight,value,asset_id,label,prediction,feature,alt_pos,token,lemma,context,X,Y,Z,weight_abs,weight_mean,weight_sum,weight_prod
0-low-CTR,desde◊PROPN,-0.6713619750977448,1.0,637059486,0-low-CTR,0-low-CTR,desde,PROPN,desde,desde,"historia de la salud de tu mascota <span style=""color: #FF0000"">desde </span>adentro. Nutrición Prebiótica Natural que promueve",-5.148388,3.0247931,-2.0292976,0.6713619750977448,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Risky◊PROPN,-0.5439054411457263,2.0,716955802,0-low-CTR,0-low-CTR,Risky,PROPN,Risky,Risky," <span style=""color: #FF0000"">Risky</span>'s world, the perfect reminder that life's more fun and the<br>floats your boat just like we do. Feed their fantasy. <span style=""color: #FF0000"">Risky</span>'s.",-4.088138,5.4803214,2.7251356,0.5439054411457263,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Fancy◊PROPN,-0.19312731608201725,2.0,716961578,0-low-CTR,0-low-CTR,Fancy,PROPN,Fancy,Fancy,". Indulgent, delicious, irresistible. <span style=""color: #FF0000"">Fancy </span>Feast makes delighting your cat delightfully easy<br>fancy way to show your love. <span style=""color: #FF0000"">Fancy </span>Feast, give your cat the world",-5.9437437,2.7264287,3.9861946,0.19312731608201725,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Feast◊PROPN,-0.3047215556887869,2.0,716961578,0-low-CTR,0-low-CTR,Feast,PROPN,Feast,Feast,"Indulgent, delicious, irresistible. Fancy <span style=""color: #FF0000"">Feast </span>makes delighting your cat delightfully easy.<br>way to show your love. Fancy <span style=""color: #FF0000"">Feast</span>, give your cat the world with",-5.8074403,2.500021,2.9195354,0.3047215556887869,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Cat◊PROPN,-0.021418682318842176,1.0,716992558,0-low-CTR,0-low-CTR,Cat,PROPN,Cat,Cat,"feast. Chef inspired? Yeah. <span style=""color: #FF0000"">Cat </span>adored. To get away the happiest",-5.3943596,2.5831544,4.064788,0.021418682318842176,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Fancy◊PROPN,-0.09526917005875554,3.0,716992558,0-low-CTR,0-low-CTR,Fancy,PROPN,Fancy,Fancy," You show me every day. <span style=""color: #FF0000"">Fancy </span>feast. Chef inspired? Yeah.<br>you and your cat closer together. <span style=""color: #FF0000"">Fancy </span>feast. Love is in the details<br>the details. Fancy feast. Love is in the details. <span style=""color: #FF0000"">Fancy </span>feast.",-5.0380697,2.837895,3.941079,0.09526917005875554,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Morning◊PROPN,-0.07790032929565867,1.0,716996527,0-low-CTR,0-low-CTR,Morning,PROPN,Morning,Morning," <span style=""color: #FF0000"">Morning</span>, noon, night. Indulgent, delicious, irresistible. Fancy Feast",-4.0571117,2.603461,2.9675999,0.07790032929565867,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Fancy◊PROPN,-0.15111976001070598,2.0,716996527,0-low-CTR,0-low-CTR,Fancy,PROPN,Fancy,Fancy,". Indulgent, delicious, irresistible. <span style=""color: #FF0000"">Fancy </span>Feast makes delighting your cat delightfully easy<br>fancy way to show your love. <span style=""color: #FF0000"">Fancy </span>Feast, give your cat the world",-5.9437437,2.7264287,3.9861946,0.15111976001070598,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Feast◊PROPN,-0.2563225628061904,2.0,716996527,0-low-CTR,0-low-CTR,Feast,PROPN,Feast,Feast,"Indulgent, delicious, irresistible. Fancy <span style=""color: #FF0000"">Feast </span>makes delighting your cat delightfully easy.<br>way to show your love. Fancy <span style=""color: #FF0000"">Feast</span>, give your cat the world with",-5.8074403,2.500021,2.9195354,0.2563225628061904,0.20241720231271956,106.87628282111594,21.63359816223326
0-low-CTR,Paté◊PROPN,-0.027820082313158453,1.0,717381305,0-low-CTR,0-low-CTR,Paté,PROPN,Paté,Paté,", Every Silky Broth, Every Impeccable <span style=""color: #FF0000"">Paté</span>, Every Delicious Detail, Brings You",-12.467349,-1.5321652,5.2053432,0.027820082313158453,0.20241720231271956,106.87628282111594,21.63359816223326
